,feature,label
432,[0.25359101 1.12626001 0.52762956 4.44124575],0
433,[0.21787004 1.09403984 0.45935092 5.0215249 ],0
434,[0.24545455 1.12954064 0.3738847  4.60183224],0
435,[0.2244898  1.07551878 0.36046529 4.79094729],1
436,[0.34917184 1.0419378  0.48952821 2.98402583],0
437,[0.28971438 1.09275226 0.47522804 3.77182609],0
438,[0.30188679 1.03662863 0.52600655 3.43383235],0
439,[0.30771911 1.12626001 0.51494977 3.66002619],0
440,[0.3        1.11955061 0.48802616 3.73183537],0
441,[0.24358747 1.1555144  0.3729057  4.74373501],0
442,[0.25735294 0.92204705 0.43561287 3.5828114 ],0
443,[0.20895522 0.9711833  0.47415724 4.64780578],1
444,[0.20895522 1.01333768 0.47415724 4.8495446 ],0
445,[0.20895522 1.04815884 0.47415724 5.01618874],0
446,[0.20895522 1.         0.47415724 4.78571429],1
447,[0.26185467 1.04637362 0.43753968 3.99600901],0
448,[0.200438   0.93358372 0.46034077 4.6577181 ],0
449,[0.20895522 0.96185023 0.47415724 4.60314039],0
450,[0.22580645 1.06116528 0.37984986 4.69944622],1
451,[0.2618034  1.00957959 0.44017853 3.85625086],0
452,[0.2118228  1.12648192 0.45084652 5.31803902],1
453,[0.225      1.         0.3585441  4.44444444],0
454,[0.20323744 1.0764548  0.46877372 5.29653798],0
455,[0.23561072 1.16163337 0.57430406 4.93030771],0
456,[0.24039096 1.15023488 0.53860029 4.78485085],0
457,[0.20080889 1.00734659 0.45938055 5.01644419],0
458,[0.22956496 1.         0.3639191  4.35606554],0
459,[0.225      1.0778436  0.57091316 4.790416  ],0
460,[0.23455936 1.3434575  0.48265416 5.72757987],0
461,[0.20860923 1.17171737 0.41373476 5.61680488],0
462,[0.22889577 1.07560474 0.3639191  4.69910274],0
463,[0.24294937 1.10704387 0.42964932 4.55668556],0
464,[0.20272071 1.0558844  0.49096409 5.20856705],0
465,[0.20454545 1.0764548  0.48206113 5.2626679 ],0
466,[0.22326253 1.09635757 0.50360404 4.91062053],0
467,[0.26321713 1.03537226 0.4229859  3.93352923],0
468,[0.20408163 1.04641426 0.4803747  5.12742985],1
469,[0.27559944 0.77299702 0.49974918 2.8047844 ],1
470,[0.31111111 0.78446456 0.54266444 2.52149321],0
471,[0.30434783 0.74040811 0.52344137 2.43276949],1
472,[0.34209574 0.97310778 0.5035563  2.84454807],1
473,[0.31142055 0.7110624  0.41377864 2.2832867 ],1
474,[0.2745098  0.78103302 0.46856885 2.84519172],1
475,[0.24330793 0.93281532 0.43990153 3.83388795],0
476,[0.25811388 0.9277578  0.44247695 3.59437394],1
477,[0.31277777 0.93106748 0.51980105 2.97676998],0
478,[0.29620095 0.93281532 0.43640295 3.1492651 ],1
479,[0.20430108 1.04724457 0.48126624 5.12598658],0
480,[0.21973027 1.09481329 0.53247708 4.98253276],0
481,[0.28571429 1.04943113 0.34812076 3.67300895],0
